porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@dd5116fd-e1a3-6843-1ea6-5dba5365c7a3,ref|ENST00000341885.6-ENST00000363721.1,+strand,0-44,chimera,ENST00000392222.7|ENSG00000114942.14|OTTHUMG00000132891.4|OTTHUMT00000336436.2|EEF1B2-203|EEF1B2|808|protein_coding|,+strand,0-808,length,845,error-free_length,881,read_identity,80.896%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@683b9b62-494f-bbad-cae0-90fbb9d38c58,ref|ENST00000361665.7-ENST00000513880.2-ENST00000626336.2,+strand,590-1450,chimera,ENST00000393078.5|ENSG00000196136.18|OTTHUMG00000029851.8|OTTHUMT00000530307.1|SERPINA3-201|SERPINA3|1576|protein_coding|,-strand,374-940,length,1402,error-free_length,1443,read_identity,85.619%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@f65cc220-4826-df40-417f-8f70dea16776,ENST00000395738.2|ENSG00000128165.9|OTTHUMG00000150202.2|OTTHUMT00000316816.1|ADM2-202|ADM2|4276|protein_coding|,-strand,1531-4276,chimera,ref|ENST00000598909.1-ENST00000611327.1,+strand,0-802,length,3422,error-free_length,3579,read_identity,81.146%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@176953bf-e22f-ffcc-221a-9ad0d58cd203,ENST00000353487.7|ENSG00000157837.16|OTTHUMG00000169232.7|OTTHUMT00000402980.3|SPPL3-201|SPPL3|4135|protein_coding|,+strand,3060-3748,chimera,ref|ENST00000512755.2-ENST00000657031.1,-strand,16-1077,length,1786,error-free_length,1793,read_identity,90.845%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@290ac3c4-140d-6938-051c-99db01f43a62,ref|ENST00000542329.2-ENST00000368756.1,+strand,0-594,chimera,ENST00000512737.6|ENSG00000243678.12|OTTHUMG00000154062.4|OTTHUMT00000268666.1|NME2-205|NME2|690|protein_coding|,-strand,530-690,length,733,error-free_length,754,read_identity,84.414%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@bff7a13a-dcf8-c737-57d2-610ed7813389_1,ref|ENST00000702400.1-ENST00000446580.3-ENST00000394461.2,-strand,1344-1516,chimera,ENST00000563060.6|ENSG00000149925.22|OTTHUMG00000132107.12|OTTHUMT00000435368.3|ALDOA-206|ALDOA|1550|protein_coding|,-strand,0-1550,length,1722,error-free_length,1778,read_identity,81.627%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@b0f82666-2bc0-d63c-89cc-1b0b651245ac,ref|ENST00000423025.6-ENST00000652936.1-ENST00000513409.1,+strand,3777-4755,chimera,ENST00000246957.10|ENSG00000126602.11|OTTHUMG00000129427.4|OTTHUMT00000251586.3|TRAP1-201|TRAP1|2223|protein_coding|,-strand,1990-2223,length,1180,error-free_length,1238,read_identity,85.283%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@37e2187f-a1a6-f48c-b129-42d410975fff,ENST00000393087.9|ENSG00000197249.14|OTTHUMG00000150355.6|OTTHUMT00000317770.3|SERPINA1-202|SERPINA1|3006|protein_coding|,-strand,762-1607,chimera,ref|ENST00000543397.1-ENST00000637035.1,-strand,2133-2754,length,1471,error-free_length,1511,read_identity,84.211%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@d3d82c64-c340-e661-72ac-aa310b6103dc_1,ref|ENST00000412778.4-ENST00000412778.4,+strand,0-718,chimera,ENST00000347970.7|ENSG00000184277.13|OTTHUMG00000149872.5|OTTHUMT00000313622.2|TM2D3-202|TM2D3|1329|protein_coding|,+strand,0-1329,length,2045,error-free_length,2109,read_identity,82.099%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@ebdc719d-5e0a-36ac-26d7-825af77efa98,ENST00000442411.2|ENSG00000224057.2|OTTHUMG00000156126.1|OTTHUMT00000343091.1|EGFR-AS1-201|EGFR-AS1|2849|lncRNA|,-strand,1430-2261,chimera,ref|ENST00000667244.1-ENST00000304031.8-ENST00000484702.1,+strand,3251-3286,length,826,error-free_length,872,read_identity,84.048%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@6ad6acf6-8cd8-fc06-9795-5bf5d61ee120,ENST00000491306.6|ENSG00000197756.10|OTTHUMG00000133052.6|OTTHUMT00000256665.4|RPL37A-210|RPL37A|2992|protein_coding|,+strand,936-1439,chimera,ref|ENST00000466173.1-ENST00000466173.1,+strand,0-751,length,1229,error-free_length,1275,read_identity,86.288%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@0a2ed7a2-63be-05a5-fcc7-1b7185bcfcd7,ENST00000336916.8|ENSG00000115414.21|OTTHUMG00000133054.7|OTTHUMT00000256669.1|FN1-202|FN1|8435|protein_coding|,-strand,4797-6788,chimera,ref|ENST00000466626.1-ENST00000507216.1-ENST00000237177.10,-strand,0-405,length,2384,error-free_length,2411,read_identity,83.707%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@e797d32d-2cf6-7052-a5d9-215bb2933e60_1,ENST00000387347.2|ENSG00000210082.2|-|-|MT-RNR2-201|MT-RNR2|1559|Mt_rRNA|,-strand,0-1559,chimera,ref|ENST00000518521.5-ENST00000696757.1-ENST00000396267.3,-strand,6871-8694,length,3391,error-free_length,3410,read_identity,84.893%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@e797d32d-2cf6-7052-a5d9-215bb2933e60_2,ENST00000387347.2|ENSG00000210082.2|-|-|MT-RNR2-201|MT-RNR2|1559|Mt_rRNA|,-strand,0-1559,chimera,ref|ENST00000518521.5-ENST00000696757.1-ENST00000396267.3,-strand,6871-8694,length,3391,error-free_length,3410,read_identity,84.893%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@04c888e1-04cb-825b-3336-26043139b7dc,ENST00000368865.9|ENSG00000154473.18|OTTHUMG00000019197.5|OTTHUMT00000050835.3|BUB3-203|BUB3|7703|protein_coding|,-strand,3544-6470,chimera,ref|ENST00000620267.2-ENST00000620267.2,-strand,1393-2398,length,3855,error-free_length,3962,read_identity,84.877%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@0dc45e9b-14bb-a711-b703-d291af58c38e,ref|ENST00000495856.1-ENST00000531480.2-ENST00000608765.1,-strand,95-510,chimera,ENST00000701834.1|ENSG00000234350.7|OTTHUMG00000154055.18|-|ERICH2-DT-224|ERICH2-DT|880|lncRNA|,+strand,0-880,length,1302,error-free_length,1316,read_identity,87.111%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@dab36e92-809e-1c52-efe4-e26949b2895c,ENST00000380822.9|ENSG00000085231.14|OTTHUMG00000187252.3|OTTHUMT00000216793.2|AK6-202|AK6|1626|protein_coding|,+strand,0-1626,chimera,ref|ENST00000439523.1-ENST00000682513.1-ENST00000311028.4,-strand,5173-6942,length,3364,error-free_length,3427,read_identity,90.578%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@e93768d5-c105-1413-134e-a5eb2d8190bc_1,ref|ENST00000549711.5-ENST00000675855.1,-strand,1003-3252,chimera,ENST00000376925.8|ENSG00000101439.9|OTTHUMG00000032080.4|OTTHUMT00000078346.3|CST3-201|CST3|793|protein_coding|,-strand,0-793,length,2997,error-free_length,3074,read_identity,85.674%
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,@9b3bc835-808a-224f-8e94-07e1c224343f_1,ref|ENST00000373698.7-ENST00000439471.2,+strand,0-608,chimera,ENST00000229239.10|ENSG00000111640.15|OTTHUMG00000137379.3|OTTHUMT00000268059.2|GAPDH-201|GAPDH|1285|protein_coding|,-strand,0-1285,length,1884,error-free_length,1937,read_identity,83.581%
